ten_truong,ma_nganh,ten_nganh,diem_chuan,he_dao_tao,dia_chi,latitude,longitude,chat_luong,nhom_xep_hang,khu_vuc,linh_vuc,hoc_phi,canh_tranh,co_hoi_viec_lam,hoc_bong,chuong_trinh_lien_ket
Học viện Công nghệ BCVT,MA0030,An toàn thông tin,24.9,Liên kết quốc tế,"122 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03079698,105.8053234,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Đại học Thương mại,MA0031,Quản trị kinh doanh,22,Chính quy,"79 Hồ Tùng Mậu, Cầu Giấy, Hà Nội",21.03860482,105.7971147,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Đại học Điện lực,MA0032,Kỹ thuật điện tử,22.1,Chất lượng cao,"235 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03646089,105.799468,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Kinh tế Quốc dân,MA0033,Kinh tế quốc tế,22.2,Liên kết quốc tế,"207 Giải Phóng, Hai Bà Trưng, Hà Nội",21.03960778,105.8051716,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Đại học Công nghiệp Hà Nội,MA0034,Công nghệ vật liệu,22.3,Chính quy,"298 Cầu Diễn, Bắc Từ Liêm, Hà Nội",21.03938294,105.7998011,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Học viện Tài chính,MA0035,Tài chính - Ngân hàng,22.4,Chất lượng cao,"58 Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",21.04175937,105.7986415,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Giao thông Vận tải,MA0036,Kỹ thuật ô tô,22.5,Liên kết quốc tế,"3 Cầu Giấy, Hà Nội",21.03172824,105.8047036,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Y tế Công cộng,MA0037,Y tế công cộng,22.6,Chính quy,"1A Đức Thắng, Bắc Từ Liêm, Hà Nội",21.02574041,105.7981268,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Học viện Ngân hàng,MA0038,Tài chính ngân hàng,22.7,Chất lượng cao,"12 Chùa Bộc, Đống Đa, Hà Nội",21.03252744,105.8109657,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Học viện Ngoại giao,MA0039,Quan hệ quốc tế,22.8,Liên kết quốc tế,"69 Chùa Láng, Đống Đa, Hà Nội",21.03326955,105.8012979,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Đại học Mở Hà Nội,MA0040,Quản trị nhân lực,22.9,Chính quy,"96 Định Công, Hoàng Mai, Hà Nội",21.03407638,105.8065659,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Đại học Mỹ thuật Công nghiệp,MA0041,Thiết kế thời trang,23,Chất lượng cao,"360 Đê La Thành, Đống Đa, Hà Nội",21.03145531,105.8043932,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Văn hóa Hà Nội,MA0042,Quản lý văn hóa,23.1,Liên kết quốc tế,"418 Đê La Thành, Đống Đa, Hà Nội",21.02554374,105.8030042,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Học viện Phụ nữ Việt Nam,MA0043,Công tác xã hội,23.2,Chính quy,"68 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.04182295,105.8125366,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Học viện Hành chính Quốc gia,MA0044,Quản lý nhà nước,23.3,Chất lượng cao,"77 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.0419545,105.8085972,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Học viện Âm nhạc Quốc gia Việt Nam,MA0045,Âm nhạc học,23.4,Liên kết quốc tế,"77 Hào Nam, Đống Đa, Hà Nội",21.0316316,105.7961798,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Đại học Luật Hà Nội,MA0046,Luật,23.5,Chính quy,"87 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.03373832,105.7988043,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Phòng cháy chữa cháy,MA0047,Kỹ thuật phòng cháy,23.6,Chất lượng cao,"243 Khuất Duy Tiến, Thanh Xuân, Hà Nội",21.03636523,105.8055641,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Khoa học Xã hội và Nhân văn,MA0048,Xã hội học,23.7,Liên kết quốc tế,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",21.02834982,105.8031189,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Ngoại ngữ - ĐHQG Hà Nội,MA0049,Ngôn ngữ Anh,23.8,Chính quy,"Phạm Văn Đồng, Cầu Giấy, Hà Nội",21.02896009,105.8069655,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Sân khấu - Điện ảnh,MA0050,Đạo diễn điện ảnh,23.9,Chất lượng cao,"Mai Dịch, Cầu Giấy, Hà Nội",21.03620615,105.8116638,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Quốc gia Hà Nội,MA0051,Công nghệ thông tin,24,Liên kết quốc tế,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.03872248,105.7966389,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Đại học Sư phạm Hà Nội,MA0052,Kỹ thuật điện,24.1,Chính quy,"136 Xuân Thủy, Cầu Giấy, Hà Nội",21.03871446,105.8126526,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Đại học Công nghệ - ĐHQG Hà Nội,MA0053,Khoa học máy tính,24.2,Chất lượng cao,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.03200653,105.8067972,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Học viện Kỹ thuật Quân sự,MA0054,Kỹ thuật hàng không,24.3,Liên kết quốc tế,"236 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03947141,105.801744,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Học viện Công nghệ BCVT,MA0055,An toàn thông tin,24.4,Chính quy,"122 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.04060087,105.7971372,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Đại học Thương mại,MA0056,Quản trị kinh doanh,24.5,Chất lượng cao,"79 Hồ Tùng Mậu, Cầu Giấy, Hà Nội",21.02660789,105.8048561,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Điện lực,MA0057,Kỹ thuật điện tử,24.6,Liên kết quốc tế,"235 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.02568676,105.7984832,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Đại học Kinh tế Quốc dân,MA0058,Kinh tế quốc tế,24.7,Chính quy,"207 Giải Phóng, Hai Bà Trưng, Hà Nội",21.02864804,105.8078075,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Công nghiệp Hà Nội,MA0059,Công nghệ vật liệu,24.8,Chất lượng cao,"298 Cầu Diễn, Bắc Từ Liêm, Hà Nội",21.03992645,105.7935553,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Học viện Tài chính,MA0060,Tài chính - Ngân hàng,24.9,Liên kết quốc tế,"58 Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",21.0331411,105.7969315,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Giao thông Vận tải,MA0061,Kỹ thuật ô tô,22,Chính quy,"3 Cầu Giấy, Hà Nội",21.03570584,105.7995101,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Y tế Công cộng,MA0062,Y tế công cộng,22.1,Chất lượng cao,"1A Đức Thắng, Bắc Từ Liêm, Hà Nội",21.03447516,105.8010777,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Học viện Ngân hàng,MA0063,Tài chính ngân hàng,22.2,Liên kết quốc tế,"12 Chùa Bộc, Đống Đa, Hà Nội",21.03713845,105.8083125,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Học viện Ngoại giao,MA0064,Quan hệ quốc tế,22.3,Chính quy,"69 Chùa Láng, Đống Đa, Hà Nội",21.03800273,105.8095268,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Đại học Mở Hà Nội,MA0065,Quản trị nhân lực,22.4,Chất lượng cao,"96 Định Công, Hoàng Mai, Hà Nội",21.03337342,105.7937198,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Mỹ thuật Công nghiệp,MA0066,Thiết kế thời trang,22.5,Liên kết quốc tế,"360 Đê La Thành, Đống Đa, Hà Nội",21.02418741,105.8027469,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Đại học Văn hóa Hà Nội,MA0067,Quản lý văn hóa,22.6,Chính quy,"418 Đê La Thành, Đống Đa, Hà Nội",21.02489645,105.8034135,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Học viện Phụ nữ Việt Nam,MA0068,Công tác xã hội,22.7,Chất lượng cao,"68 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.03103371,105.796169,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Học viện Hành chính Quốc gia,MA0069,Quản lý nhà nước,22.8,Liên kết quốc tế,"77 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.024072,105.8053803,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Học viện Âm nhạc Quốc gia Việt Nam,MA0070,Âm nhạc học,22.9,Chính quy,"77 Hào Nam, Đống Đa, Hà Nội",21.03466767,105.8065715,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Luật Hà Nội,MA0071,Luật,23,Chất lượng cao,"87 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.03171168,105.803861,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Phòng cháy chữa cháy,MA0072,Kỹ thuật phòng cháy,23.1,Liên kết quốc tế,"243 Khuất Duy Tiến, Thanh Xuân, Hà Nội",21.02386096,105.8025398,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Khoa học Xã hội và Nhân văn,MA0073,Xã hội học,23.2,Chính quy,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",21.03478055,105.812544,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Ngoại ngữ - ĐHQG Hà Nội,MA0074,Ngôn ngữ Anh,23.3,Chất lượng cao,"Phạm Văn Đồng, Cầu Giấy, Hà Nội",21.03671922,105.8019777,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Sân khấu - Điện ảnh,MA0075,Đạo diễn điện ảnh,23.4,Liên kết quốc tế,"Mai Dịch, Cầu Giấy, Hà Nội",21.02577978,105.8109839,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Đại học Quốc gia Hà Nội,MA0076,Công nghệ thông tin,23.5,Chính quy,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.03243945,105.7936953,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Đại học Sư phạm Hà Nội,MA0077,Kỹ thuật điện,23.6,Chất lượng cao,"136 Xuân Thủy, Cầu Giấy, Hà Nội",21.03686257,105.7967293,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Công nghệ - ĐHQG Hà Nội,MA0078,Khoa học máy tính,23.7,Liên kết quốc tế,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.04226017,105.8029423,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Học viện Kỹ thuật Quân sự,MA0079,Kỹ thuật hàng không,23.8,Chính quy,"236 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.04114376,105.7987819,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Học viện Công nghệ BCVT,MA0080,An toàn thông tin,23.9,Chất lượng cao,"122 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.04268981,105.7998678,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Thương mại,MA0081,Quản trị kinh doanh,24,Liên kết quốc tế,"79 Hồ Tùng Mậu, Cầu Giấy, Hà Nội",21.02510321,105.8027906,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Đại học Điện lực,MA0082,Kỹ thuật điện tử,24.1,Chính quy,"235 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03655106,105.8120118,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Kinh tế Quốc dân,MA0083,Kinh tế quốc tế,24.2,Chất lượng cao,"207 Giải Phóng, Hai Bà Trưng, Hà Nội",21.02761477,105.8024586,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Công nghiệp Hà Nội,MA0084,Công nghệ vật liệu,24.3,Liên kết quốc tế,"298 Cầu Diễn, Bắc Từ Liêm, Hà Nội",21.03553091,105.8111351,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Học viện Tài chính,MA0085,Tài chính - Ngân hàng,24.4,Chính quy,"58 Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",21.02678639,105.8072899,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Giao thông Vận tải,MA0086,Kỹ thuật ô tô,24.5,Chất lượng cao,"3 Cầu Giấy, Hà Nội",21.03152968,105.8014979,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Y tế Công cộng,MA0087,Y tế công cộng,24.6,Liên kết quốc tế,"1A Đức Thắng, Bắc Từ Liêm, Hà Nội",21.03962079,105.8032693,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Học viện Ngân hàng,MA0088,Tài chính ngân hàng,24.7,Chính quy,"12 Chùa Bộc, Đống Đa, Hà Nội",21.03807455,105.80495,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Học viện Ngoại giao,MA0089,Quan hệ quốc tế,24.8,Chất lượng cao,"69 Chùa Láng, Đống Đa, Hà Nội",21.02924004,105.8102884,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Mở Hà Nội,MA0090,Quản trị nhân lực,24.9,Liên kết quốc tế,"96 Định Công, Hoàng Mai, Hà Nội",21.03165561,105.8074398,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Đại học Mỹ thuật Công nghiệp,MA0091,Thiết kế thời trang,22,Chính quy,"360 Đê La Thành, Đống Đa, Hà Nội",21.0410317,105.8117262,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Đại học Văn hóa Hà Nội,MA0092,Quản lý văn hóa,22.1,Chất lượng cao,"418 Đê La Thành, Đống Đa, Hà Nội",21.03758236,105.812135,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Học viện Phụ nữ Việt Nam,MA0093,Công tác xã hội,22.2,Liên kết quốc tế,"68 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.02805598,105.7987177,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Học viện Hành chính Quốc gia,MA0094,Quản lý nhà nước,22.3,Chính quy,"77 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.02407272,105.8004176,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Học viện Âm nhạc Quốc gia Việt Nam,MA0095,Âm nhạc học,22.4,Chất lượng cao,"77 Hào Nam, Đống Đa, Hà Nội",21.02447349,105.8115047,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Luật Hà Nội,MA0096,Luật,22.5,Liên kết quốc tế,"87 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.02502653,105.8032357,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Phòng cháy chữa cháy,MA0097,Kỹ thuật phòng cháy,22.6,Chính quy,"243 Khuất Duy Tiến, Thanh Xuân, Hà Nội",21.03747683,105.8098963,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Khoa học Xã hội và Nhân văn,MA0098,Xã hội học,22.7,Chất lượng cao,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",21.02412725,105.8083185,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Ngoại ngữ - ĐHQG Hà Nội,MA0099,Ngôn ngữ Anh,22.8,Liên kết quốc tế,"Phạm Văn Đồng, Cầu Giấy, Hà Nội",21.02478407,105.8054078,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
